Company,Website,Company Linkedin Url,Apollo Account Id
4 Corner Resources,http://www.4cornerresources.com,http://www.linkedin.com/company/4-corner-resources,622234fa11146f000118e2f5
"Foresight Associates, LLC",http://www.4sightassociates.com,http://www.linkedin.com/company/foresight-associates-llc,622234fa11146f000118e3a7
Moonshot Innovations,http://www.321moonshot.com,http://www.linkedin.com/company/moonshot-innovations,622234fa11146f000118e423
