Company,# Employees,Website,Company Linkedin Url,Apollo Account Id
InfoStride,140,http://www.infostride.com,http://www.linkedin.com/company/infostride,6220ec770bd2a5000132c18e
Crown Castle,5100,http://www.crowncastle.com,http://www.linkedin.com/company/crown-castle,622f8e0e0aa8590001097e3f
HTC Global Services,3500,http://www.htcinc.com,http://www.linkedin.com/company/ciber,622f8e0e0aa8590001097e5c
FastSpring,130,http://www.fastspring.com,http://www.linkedin.com/company/fastspring,623f4e4de7308b0001affb79
IT Motives,19,http://www.itmotives.com,http://www.linkedin.com/company/it-motives,623f4e4de7308b0001affb8b
"InfoIMAGE, Inc.",98,http://www.infoimageinc.com,http://www.linkedin.com/company/infoimage-inc.,623f4e4de7308b0001affb8c
Knauf Insulation North America,370,http://www.knaufnorthamerica.com,http://www.linkedin.com/company/knaufna,623f4e4de7308b0001affb91
RAPS Consulting Inc,5,http://www.rci-usa.com,http://www.linkedin.com/company/raps-consulting-inc.,623f4e4de7308b0001affba5
Reyes Beer Division,580,http://www.reyesbeerdivision.com,http://www.linkedin.com/company/reyes-beer-division,623f4e4de7308b0001affbaa
TestRail by Gurock,26,http://www.gurock.com,http://www.linkedin.com/company/testrail,623f4e4de7308b0001affbb3
Collabera Inc.,8300,http://www.collabera.com,http://www.linkedin.com/company/collabera,61f805fb0d4ff40001b1c0ec
General Dynamics Information Technology,23000,http://www.gdit.com,http://www.linkedin.com/company/gdit,61fd51a6ad5cfa0001b690f6
Capgemini,287000,http://www.capgemini.com,http://www.linkedin.com/company/capgemini,620176553e1b060001a1fafb
GuideWell,410,http://www.guidewell.com,http://www.linkedin.com/company/guidewell,6205526548cf3b0001a2e0e0
TMX Finance Family of Companies,1500,http://www.tmxfinancefamily.com,http://www.linkedin.com/company/tmx-finance,620a7b18c47acf00010f4f10
JCPenney,35000,http://www.jcpenney.com,http://www.linkedin.com/company/jcpenney,62152ff5a2911b000191012f
ettain group,1700,http://www.ettaingroup.com,http://www.linkedin.com/company/ettain-group,6220ec770bd2a5000132c177
